# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2017-01-01T00:00:00.0
# Date end (ISO 8601): 2019-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -23.5844
# Longitude (positive East, ISO 19115): -64.5066
# Altitude (m): 400.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2025-03-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2017-01-01T17:30:00.0/2017-01-01T17:45:00.0;335.8364;269.3958;249.8469;19.5489;261.8415;269.3958;249.8469;19.5489;261.8415;1.0000
2017-01-01T17:45:00.0/2017-01-01T18:00:00.0;328.9374;263.2751;243.8536;19.4216;260.9196;263.2751;243.8536;19.4216;260.9196;1.0000
2017-01-01T18:00:00.0/2017-01-01T18:15:00.0;320.8655;256.0665;236.7816;19.2849;259.7248;256.0665;236.7816;19.2849;259.7248;1.0000
2017-01-01T18:15:00.0/2017-01-01T18:30:00.0;311.6550;247.8068;228.6695;19.1373;258.2381;247.8068;228.6695;19.1373;258.2381;1.0000
2017-01-01T18:30:00.0/2017-01-01T18:45:00.0;301.3454;238.5939;219.6311;18.9628;256.5148;238.5939;219.6311;18.9628;256.5148;1.0000
2017-01-01T18:45:00.0/2017-01-01T19:00:00.0;289.9809;228.4726;209.7133;18.7593;254.5285;228.4726;209.7133;18.7593;254.5285;1.0000
2017-01-01T19:00:00.0/2017-01-01T19:15:00.0;277.6100;217.4936;198.9693;18.5244;252.2471;217.4936;198.9693;18.5244;252.2471;1.0000
2017-01-01T19:15:00.0/2017-01-01T19:30:00.0;264.2856;205.7135;187.4582;18.2554;249.6321;205.7135;187.4582;18.2554;249.6321;1.0000
2017-01-01T19:30:00.0/2017-01-01T19:45:00.0;250.0649;193.1948;175.2455;17.9493;246.6360;193.1948;175.2455;17.9493;246.6360;1.0000
2017-01-01T19:45:00.0/2017-01-01T20:00:00.0;235.0086;180.0045;162.4023;17.6022;243.1990;180.0045;162.4023;17.6022;243.1990;1.0000
2017-01-01T20:00:00.0/2017-01-01T20:15:00.0;219.1812;166.2133;149.0052;17.2081;239.2430;166.2133;149.0052;17.2081;239.2430;1.0000
2017-01-01T20:15:00.0/2017-01-01T20:30:00.0;202.6504;151.8951;135.1364;16.7588;234.6655;151.8951;135.1364;16.7588;234.6655;1.0000
2017-01-01T20:30:00.0/2017-01-01T20:45:00.0;185.4869;137.1273;120.8848;16.2425;229.3293;129.5052;105.0859;24.4193;198.6341;1.0000
2017-01-01T20:45:00.0/2017-01-01T21:00:00.0;167.7642;121.9939;106.3492;15.6447;223.0500;74.0009;42.0733;31.9276;87.2205;1.0000
2017-01-01T21:00:00.0/2017-01-01T21:15:00.0;149.5582;106.4942;91.4400;15.0542;215.0906;10.5803;1.5726;9.0077;3.5213;1.0000
2017-01-01T21:15:00.0/2017-01-01T21:30:00.0;130.9468;90.7542;76.3239;14.4303;205.0075;7.1522;0.0000;7.1522;0.0000;1.0000
2017-01-01T21:30:00.0/2017-01-01T21:45:00.0;112.0095;75.0109;61.3859;13.6249;192.6909;6.2417;0.0000;6.2417;0.0000;1.0000
2017-01-01T21:45:00.0/2017-01-01T22:00:00.0;92.8274;59.4231;46.8340;12.5891;177.2696;5.1996;0.0000;5.1996;0.0000;0.8667
2017-01-01T22:00:00.0/2017-01-01T22:15:00.0;73.4826;44.1900;32.9518;11.2382;157.3246;3.8756;0.0000;3.8756;0.0000;0.5000
2017-01-01T22:15:00.0/2017-01-01T22:30:00.0;54.0579;29.6116;20.1901;9.4215;130.5144;2.5971;0.0000;2.5971;0.0000;0.5000
2017-01-01T22:30:00.0/2017-01-01T22:45:00.0;34.6364;16.2484;9.3389;6.9096;92.8085;1.4250;0.0000;1.4250;0.0000;0.5000
2017-01-01T22:45:00.0/2017-01-01T23:00:00.0;15.3012;5.3935;1.9655;3.4280;37.9646;0.4730;0.0000;0.4730;0.0000;0.5000
2017-01-01T23:00:00.0/2017-01-01T23:15:00.0;0.8345;0.1985;0.0116;0.1869;0.0000;0.0174;0.0000;0.0174;0.0000;0.8333
2017-01-01T23:15:00.0/2017-01-01T23:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T23:30:00.0/2017-01-01T23:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T23:45:00.0/2017-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T00:00:00.0/2017-01-02T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T00:15:00.0/2017-01-02T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T00:30:00.0/2017-01-02T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T00:45:00.0/2017-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T01:00:00.0/2017-01-02T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T01:15:00.0/2017-01-02T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T01:30:00.0/2017-01-02T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T01:45:00.0/2017-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T02:00:00.0/2017-01-02T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T02:15:00.0/2017-01-02T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T02:30:00.0/2017-01-02T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T02:45:00.0/2017-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T03:00:00.0/2017-01-02T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T03:15:00.0/2017-01-02T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T03:30:00.0/2017-01-02T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T03:45:00.0/2017-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T04:00:00.0/2017-01-02T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T04:15:00.0/2017-01-02T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T04:30:00.0/2017-01-02T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T04:45:00.0/2017-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T05:00:00.0/2017-01-02T05:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T05:15:00.0/2017-01-02T05:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T05:30:00.0/2017-01-02T05:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T05:45:00.0/2017-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T06:00:00.0/2017-01-02T06:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T06:15:00.0/2017-01-02T06:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T06:30:00.0/2017-01-02T06:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T06:45:00.0/2017-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T07:00:00.0/2017-01-02T07:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T07:15:00.0/2017-01-02T07:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T07:30:00.0/2017-01-02T07:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T07:45:00.0/2017-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-02T08:00:00.0/2017-01-02T08:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
